,Artist,valence,dance
0,Maluma,0.68,0.77
1,Ariana Grande,0.32,0.77
2,ROSALÍA,0.06,0.59
3,Katy Perry,0.38,0.76
4,Lil Nas X,0.63,0.87
5,Lewis Capaldi,0.44,0.5
6,Y2K,0.49,0.84
7,Lady Gaga,0.32,0.57
8,Lunay,0.87,0.72
9,Lil Tecca,0.22,0.74
10,Post Malone,0.55,0.69
11,Drake,0.5,0.67
12,Jonas Brothers,0.95,0.84
13,Chris Brown,0.13,0.69
14,Khalid,0.24,0.7
15,The Chainsmokers,0.35,0.52
16,Shawn Mendes,0.74,0.75
17,Anuel AA,0.6,0.78
18,Tones and I,0.51,0.82
19,Young Thug,0.3,0.8
20,Sech,0.67,0.88
21,Nicky Jam,0.66,0.81
22,Marshmello,0.67,0.68
23,Lizzo,0.47,0.66
24,Taylor Swift,0.71,0.77
25,Ed Sheeran,0.82,0.8
26,Billie Eilish,0.24,0.7
27,J Balvin,0.66,0.72
28,DJ Snake,0.37,0.69
29,MEDUZA,0.52,0.59
30,Lauv,0.67,0.8
31,Daddy Yankee,0.6,0.78
32,Bad Bunny,0.52,0.88
33,Martin Garrix,0.31,0.66
34,Kygo,0.4,0.69
35,Ali Gatie,0.39,0.73
36,Sam Smith,0.34,0.47
37,Jhay Cortez,0.57,0.8
